gender,age
M,22
M,67
K,33
K,20
M,40
M,19
K,57
K,31
K,29
K,20
M,18
K,15
M,11
M,36
M,33
K,31
M,14
K,88
K,26
M,27
K,25
M,17
M,17
M,40
M,43
K,37
K,20
M,23
K,27
K,3
K,28
M,28
K,35
K,51
M,19
M,14
M,24
K,24
M,3
M,1
K,54
K,29
M,29
K,31
K,2
M,20
M,17
K,37
K,39
K,50
K,35
M,49
K,44
K,10
K,9
K,17
M,28
M,18
K,51
K,23
K,15
K,13
K,53
K,20
M,64
K,65
M,30
K,32
M,5
M,3
K,1
M,25
M,24
M,24
M,24
M,24
K,46
K,12
K,9
M,29
M,51
K,48
K,11
M,9
M,3
K,53
K,53
M,32
K,32
K,3
M,2
M,41
K,38
K,6
M,2
M,15
M,81
M,42
K,37
M,8
K,4
M,23
M,20
M,16
K,51
K,43
K,19
M,43
K,44
K,28
M,34
K,22
M,2
K,1
K,22
M,30
K,40
M,29
K,29
K,29
K,2
K,46
M,14
M,10
K,30
M,8
K,2
M,37
K,30
M,31
K,32
M,5
M,3
M,32
K,22
M,3
M,1
M,15
M,35
K,35
M,1
M,40
M,16
M,15
K,16
M,57
K,48
M,20
K,16
M,14
M,40
K,39
M,10
M,9
K,8
M,7
M,6
K,2
M,29
M,22
M,18
K,35
M,10
M,8
K,40
M,35
K,36
K,8
M,6
K,5
M,2
K,16
K,17
